,Model Name,Accuracy_score,Precision_score,Recall_score,f1_score,ROC_AUC_score,Training Time (Sec)
0,Logistic Regression,0.9062114356232003,0.7307692307692307,0.5805555555555556,0.6470588235294118,0.7716877246633403,9.15
1,Random Forest Classifier,0.9391197038255862,0.8868613138686131,0.675,0.7665615141955836,0.8300156929019797,60.82
2,Gradient Boosting Classifier,0.9679144385026738,0.9272727272727272,0.85,0.8869565217391303,0.9192056977305649,798.64
3,Support Vector Classifier,0.9156725627313863,0.7259475218658892,0.6916666666666667,0.7083926031294452,0.8231389827780461,79.55
4,AdaBoost w/ Random Forest Classifier,0.9638009049773756,0.9444444444444444,0.8027777777777778,0.8678678678678678,0.8972845914480391,1461.56
5,AdaBoost w/ Gradient Boosting Classifier,0.9691484985602633,0.9305135951661632,0.8555555555555555,0.8914616497829233,0.9222249047695692,202.42
