,Model Name,Accuracy_score,Precision_score,Recall_score,f1_score,ROC_AUC_score,Training Time (Sec)
0,Logistic Regression,0.9144698301113063,0.7606382978723404,0.5860655737704918,0.662037037037037,0.7776534294006253,9.02
1,Random Forest Classifier,0.9496192149970709,0.9593023255813954,0.6762295081967213,0.7932692307692308,0.835722409600753,50.89
2,Gradient Boosting Classifier,0.968365553602812,0.9357798165137615,0.8360655737704918,0.8831168831168832,0.9132480978900307,572.62
3,Support Vector Classifier,0.9302870533099004,0.7962085308056872,0.6885245901639344,0.7384615384615384,0.8295664645966631,37.78
4,AdaBoost w/ Random Forest Classifier,0.9619214997070885,0.9637305699481865,0.7622950819672131,0.8512585812356979,0.878755196485999,1109.92
5,AdaBoost w/ Gradient Boosting Classifier,0.9718804920913884,0.9454545454545454,0.8524590163934426,0.8965517241379309,0.9221283462008225,877.93
6,MLP Neural Network Classifier,0.9373169302870533,0.8277511961722488,0.7090163934426229,0.9638635596082404,0.842204710733615,285.9
